Date,SPTSX
1993-12-02,4226.299805
1993-12-03,4239.399902
1993-12-06,4236
1993-12-07,4265.5
1993-12-08,4307.700195
1993-12-09,4290.600098
1993-12-10,4280.299805
1993-12-13,4293.399902
1993-12-14,4244.399902
1993-12-15,4225.600098
1993-12-16,4216.200195
1993-12-17,4223.600098
1993-12-20,4223.600098
1993-12-21,4214.700195
1993-12-22,4226.899902
1993-12-23,4246.399902
1993-12-24,nan
1993-12-27,4246.399902
1993-12-28,4288.899902
1993-12-29,4309.899902
1993-12-30,4329.899902
1993-12-31,4321.399902
1994-01-03,4321.399902
1994-01-04,4368.5
1994-01-05,4401.100098
1994-01-06,4425.399902
1994-01-07,4420.700195
1994-01-10,4453.200195
1994-01-11,4447.399902
1994-01-12,4454.700195
1994-01-13,4479.899902
1994-01-14,4489.100098
1994-01-17,4544.200195
1994-01-18,4561.899902
1994-01-19,4562.899902
1994-01-20,4542.399902
1994-01-21,4501.899902
1994-01-24,4465.799805
1994-01-25,4456.200195
1994-01-26,4460.299805
1994-01-27,4467.399902
1994-01-28,4492.200195
1994-01-31,4554.899902
1994-02-01,4591.299805
1994-02-02,4573.399902
1994-02-03,4560.299805
1994-02-04,4447.200195
1994-02-07,4448.700195
1994-02-08,4452.200195
1994-02-09,4463.200195
1994-02-10,4442
1994-02-11,4405.600098
1994-02-14,4395.200195
1994-02-15,4414.399902
1994-02-16,4424.100098
1994-02-17,4407.299805
1994-02-18,4378.399902
1994-02-21,4349
1994-02-22,4371.100098
1994-02-23,4368.399902
1994-02-24,4329.100098
1994-02-25,4364.200195
1994-02-28,4423.799805
1994-03-01,4390.399902
1994-03-02,4362.200195
1994-03-03,4370.299805
1994-03-04,4398.600098
1994-03-07,4436.700195
1994-03-08,4431.200195
1994-03-09,4444.5
1994-03-10,4443.200195
1994-03-11,4446.899902
1994-03-14,4470.399902
1994-03-15,4500.600098
1994-03-16,4525.600098
1994-03-17,4543.299805
1994-03-18,4566.600098
1994-03-21,4523.5
1994-03-22,4551.899902
1994-03-23,4609.899902
1994-03-24,4569.700195
1994-03-25,4528.299805
1994-03-28,4488
1994-03-29,4393.600098
1994-03-30,4313.899902
1994-03-31,4329.600098
