Date,Open,High,Low,Close,Adj Close,Volume
2019-06-12,16201.700195,16253.299805,16199.900391,16227.200195,16227.200195,190864300
2019-06-13,16261.099609,16267.099609,16213.299805,16239.299805,16239.299805,184289900
2019-06-14,16228.099609,16325.400391,16190.900391,16301.900391,16301.900391,170254100
2019-06-17,16301.700195,16360.099609,16286.500000,16353.500000,16353.500000,185238200
2019-06-18,16451.500000,16527.300781,16448.800781,16503.400391,16503.400391,218953000
2019-06-19,16515.400391,16529.599609,16492.300781,16511.800781,16511.800781,190088100
2019-06-20,16585.900391,16603.900391,16548.400391,16574.800781,16574.800781,235060200
2019-06-21,16558.900391,16558.900391,16508.400391,16525.400391,16525.400391,493939000
2019-06-24,16527.099609,16547.800781,16506.800781,16523.500000,16523.500000,198177100
2019-06-25,16504.599609,16514.800781,16371.299805,16371.299805,16371.299805,207158600
2019-06-26,16393.900391,16393.900391,16302.400391,16312.200195,16312.200195,211051800
2019-06-27,16306.700195,16319.599609,16268.200195,16307.700195,16307.700195,177472300
2019-06-28,16328.709961,16340.650391,16302.580078,16311.040039,16311.040039,100933326
